checkpoint,precision,recall,F1
1,0.5006606606606606,0.46365203848934866,0.4814461867221115
2,0.5124051547633386,0.4732743756604928,0.49206303310683824
3,0.5226118500604595,0.4807831358807498,0.5008256322604943
4,0.5210781344639612,0.47850269759163466,0.49888370204992893
5,0.5291517830114427,0.4861226987040436,0.5067254174397031
6,0.5253612236261411,0.4833416764002447,0.503476245654693
7,0.529579170451105,0.4864564213804995,0.5071026845248449
8,0.5317129209746659,0.4891262027921464,0.5095312590532476
9,0.532950423216445,0.49029423215974194,0.5107332193864249
10,0.5356473362762291,0.492685911341009,0.5132692084830224
11,0.5341877758297564,0.49146226152733746,0.5119351100811125
12,0.5355889117540249,0.49218532732632514,0.5129706385322165
13,0.5349737017109002,0.49218532732632514,0.5126882966396293
14,0.5372899794512269,0.49446576561544026,0.5149891383055757
15,0.5355458832063837,0.4927415317870849,0.5132528026418702
16,0.5340428104970372,0.49123977974303357,0.5117478344004404
17,0.5363581367211131,0.49313087490961677,0.5138369700657799
18,0.5379739193431539,0.4956337949830358,0.5159366586573257
19,0.5402049427365883,0.4984704377329106,0.5184992334172235
